Capture_22:222,
567.201,999.24
567.552,1031.06
567.903,1026.16
568.254,1253.83
568.605,994.34
568.956,999.24
569.307,982.1
569.658,1038.4
570.009,1038.4
570.36,982.1
570.71,1009.03
571.061,962.52
571.412,984.55
571.762,979.65
572.113,1040.85
572.463,960.07
572.814,1031.06
573.164,957.62
573.514,1067.78
573.865,1124.08
574.215,1028.61
574.565,1031.06
574.915,1082.47
575.265,1190.18
575.615,1136.32
575.965,1253.83
576.315,1143.67
576.665,1133.88
577.015,1109.4
577.365,1219.56
577.714,1312.58
578.064,1204.87
578.414,1136.32
578.763,1099.6
579.113,957.62
579.462,1057.99
579.812,969.86
580.161,1053.09
580.511,1031.06
580.86,1023.72
581.209,1048.2
581.559,1033.51
581.908,957.62
582.257,991.89
582.606,1031.06
582.955,1033.51
583.304,972.31
583.653,955.17
584.002,1080.02
584.351,1084.92
584.699,982.1
585.048,913.56
585.397,967.41
585.745,962.52
586.094,945.38
586.443,991.89
586.791,928.25
587.14,940.49
587.488,913.56
587.836,913.56
588.185,972.31
588.533,945.38
588.881,916.01
589.229,849.91
589.577,1011.48
589.925,942.93
590.273,928.25
590.621,982.1
590.969,1048.2
591.317,908.66
591.665,849.91
592.013,925.8
592.36,889.08
592.708,920.9
593.056,1038.4
593.403,901.32
593.751,849.91
594.098,935.59
594.446,916.01
594.793,955.17
595.14,920.9
595.488,916.01
595.835,893.97
596.182,908.66
596.529,840.12
596.876,837.67
597.223,996.79
597.57,928.25
597.917,871.94
598.264,822.98
598.611,805.85
598.958,842.57
599.304,827.88
599.651,788.71
599.998,950.28
600.344,840.12
600.691,778.92
601.037,791.16
601.384,898.87
601.73,886.63
602.077,837.67
602.423,893.97
602.769,896.42
603.115,832.77
603.462,840.12
603.808,810.74
604.154,835.22
604.5,889.08
604.846,793.61
605.192,803.4
605.537,896.42
605.883,859.7
606.229,857.25
606.575,774.02
606.92,867.05
607.266,869.49
607.611,764.23
607.957,815.64
608.302,852.36
608.648,732.41
608.993,901.32
609.339,764.23
609.684,796.05
610.029,818.09
610.374,832.77
610.719,808.29
611.064,857.25
611.409,786.26
611.754,874.39
612.099,803.4
612.444,751.99
612.789,903.77
613.134,854.81
613.478,771.57
613.823,827.88
614.168,769.13
614.512,786.26
614.857,864.6
615.201,813.19
615.546,879.29
615.89,800.95
616.234,771.57
616.579,913.56
616.923,822.98
617.267,827.88
617.611,769.13
617.955,842.57
618.299,742.2
618.643,832.77
618.987,796.05
619.331,820.53
619.675,818.09
620.019,916.01
620.362,783.81
620.706,815.64
621.05,842.57
621.393,830.33
621.737,879.29
622.08,925.8
622.424,732.41
622.767,847.46
623.11,837.67
623.454,886.63
623.797,849.91
624.14,847.46
624.483,849.91
624.826,952.73
625.169,879.29
625.512,950.28
625.855,854.81
626.198,916.01
626.541,933.14
626.884,901.32
627.226,945.38
627.569,1045.75
627.912,996.79
628.254,957.62
628.597,1023.72
628.939,1065.33
629.282,1141.22
629.624,1121.64
629.966,1175.49
630.309,1119.19
630.651,1175.49
630.993,1168.15
631.335,1275.86
631.677,1302.79
632.019,1324.82
632.361,1356.64
632.703,1324.82
633.045,1408.05
633.387,1479.04
633.729,1461.91
634.07,1608.78
634.412,1667.54
634.754,1704.26
635.095,1679.78
635.437,1770.35
635.778,1824.21
636.12,1961.29
636.461,2144.89
636.802,2186.51
637.144,2262.4
637.485,2397.04
637.826,2465.58
638.167,2443.55
638.508,2793.61
638.849,2693.24
639.19,2820.54
639.531,2996.79
639.872,3199.98
640.213,3116.74
640.554,3432.53
640.894,3432.53
641.235,3662.64
641.576,3755.67
641.916,3782.6
642.257,3851.14
642.597,3993.12
642.938,3990.67
643.278,4154.69
643.618,4012.71
643.958,4228.13
644.299,4191.41
644.639,4203.65
644.979,4140
645.319,4049.43
645.659,4284.43
645.999,3961.3
646.339,4130.21
646.679,4010.26
647.019,3949.06
647.358,3797.28
647.698,3811.97
648.038,3657.75
648.377,3714.05
648.717,3586.76
649.056,3476.6
649.396,3425.19
649.735,3371.33
650.074,3175.5
650.414,3092.26
650.753,3133.88
651.092,3065.34
651.431,2999.24
651.77,2832.78
652.109,2835.23
652.448,2761.79
652.787,2698.14
653.126,2710.38
653.465,2617.35
653.804,2558.6
654.143,2497.4
654.481,2416.62
654.82,2360.32
655.159,2279.53
655.497,2259.95
655.836,2286.88
656.174,2242.81
656.512,2179.17
656.851,2149.79
657.189,2125.31
657.527,2196.3
657.865,2125.31
658.203,2039.63
658.542,1990.67
658.88,1953.95
659.217,1892.75
659.555,1895.2
659.893,1882.96
660.231,1995.57
660.569,1834
660.907,1882.96
661.244,1731.18
661.582,1897.65
661.919,1767.9
662.257,1736.08
662.594,1770.35
662.932,1625.92
663.269,1767.9
663.606,1692.02
663.944,1628.37
664.281,1694.46
664.618,1665.09
664.955,1652.85
665.292,1591.65
665.629,1501.07
665.966,1537.79
666.303,1572.07
666.64,1537.79
666.977,1437.43
667.313,1505.97
667.65,1366.43
667.987,1457.01
668.323,1498.63
668.66,1518.21
668.996,1444.77
669.333,1349.3
669.669,1425.19
670.005,1390.91
670.342,1307.68
670.678,1300.34
671.014,1302.79
671.35,1403.15
671.686,1239.14
672.022,1359.09
672.358,1248.93
672.694,1258.72
673.03,1207.32
673.366,1222
673.701,1224.45
674.037,1226.9
674.373,1339.51
674.708,1256.28
675.044,1199.97
675.379,1077.57
675.715,1202.42
676.05,1209.76
676.386,1197.52
676.721,1124.08
677.056,1199.97
677.391,1111.84
677.726,1158.36
678.061,1177.94
678.396,1165.7
678.731,1045.75
679.066,1177.94
679.401,1143.67
679.736,1212.21
680.071,1018.82
680.405,1082.47
680.74,1148.56
681.075,1082.47
681.409,1106.95
681.744,1116.74
682.078,1070.23
682.413,1016.37
682.747,1143.67
683.081,1023.72
683.416,1028.61
683.75,933.14
684.084,1087.36
684.418,1018.82
684.752,1026.16
685.086,974.76
685.42,987
685.754,896.42
686.088,1013.92
686.421,960.07
686.755,957.62
687.089,969.86
687.422,933.14
687.756,933.14
688.089,925.8
688.423,955.17
688.756,935.59
689.09,972.31
689.423,947.83
689.756,830.33
690.089,947.83
690.423,908.66
690.756,928.25
691.089,935.59
691.422,1013.92
691.755,881.73
692.088,955.17
692.42,994.34
692.753,849.91
693.086,884.18
693.419,891.53
693.751,849.91
694.084,825.43
694.416,876.84
694.749,825.43
695.081,847.46
695.413,867.05
695.746,967.41
696.078,800.95
696.41,840.12
696.742,884.18
697.074,786.26
697.406,886.63
697.738,881.73
698.07,930.69
698.402,796.05
698.734,825.43
699.066,830.33
699.398,774.02
699.729,852.36
700.061,820.53
700.392,800.95
700.724,808.29
701.055,793.61
701.387,754.44
701.718,847.46
702.05,798.5
702.381,791.16
702.712,803.4
703.043,739.75
703.374,776.47
703.705,786.26
704.036,739.75
704.367,818.09
704.698,737.3
705.029,727.51
705.36,805.85
705.69,771.57
706.021,766.68
706.352,742.2
706.682,825.43
707.013,884.18
707.343,842.57
707.674,781.37
708.004,651.62
708.334,703.03
708.664,800.95
708.995,734.85
709.325,749.54
709.655,703.03
709.985,641.83
710.315,862.15
710.645,867.05
710.975,737.3
711.304,734.85
711.634,830.33
711.964,666.31
712.294,663.86
712.623,791.16
712.953,759.33
713.282,725.06
713.612,749.54
713.941,759.33
714.27,734.85
714.6,624.7
714.929,700.58
715.258,761.78
715.587,693.24
715.916,744.65
716.245,808.29
716.574,678.55
716.903,764.23
717.232,749.54
717.561,720.17
717.89,678.55
718.218,722.61
718.547,685.89
718.876,668.76
719.204,688.34
719.533,703.03
719.861,627.14
720.189,729.96
720.518,683.45
720.846,668.76
721.174,656.52
721.502,685.89
721.83,649.17
722.158,636.94
722.486,673.65
722.814,597.77
723.142,690.79
723.47,717.72
723.798,602.66
724.126,676.1
724.453,636.94
724.781,556.15
725.109,600.22
725.436,649.17
725.763,622.25
726.091,578.18
726.418,583.08
726.746,663.86
727.073,561.05
727.4,644.28
727.727,617.35
728.054,570.84
728.381,504.74
728.708,556.15
729.035,558.6
729.362,558.6
729.689,624.7
730.016,541.46
730.342,602.66
730.669,573.29
730.996,534.12
731.322,543.91
731.649,521.88
731.975,551.26
732.301,580.63
732.628,610.01
732.954,561.05
733.28,570.84
733.606,526.78
733.933,580.63
734.259,649.17
734.585,541.46
734.911,585.53
735.236,548.81
735.562,580.63
735.888,614.9
736.214,472.92
736.539,592.87
736.865,568.39
737.191,619.8
737.516,553.7
737.842,472.92
738.167,585.53
738.492,539.02
738.818,546.36
739.143,477.82
739.468,624.7
739.793,480.26
740.118,597.77
740.443,509.64
740.768,465.58
741.093,646.73
741.418,490.06
741.743,514.54
742.068,514.54
742.392,570.84
742.717,509.64
743.042,460.68
743.366,561.05
743.691,546.36
744.015,458.23
744.339,490.06
744.664,490.06
744.988,551.26
745.312,475.37
745.636,553.7
745.961,465.58
746.285,450.89
746.609,556.15
746.932,526.78
747.256,536.57
747.58,565.94
747.904,524.33
748.228,558.6
748.551,539.02
748.875,480.26
749.199,524.33
749.522,531.67
749.845,504.74
750.169,592.87
750.492,480.26
750.815,556.15
751.139,565.94
751.462,492.5
751.785,507.19
752.108,563.5
752.431,534.12
752.754,534.12
753.077,487.61
753.4,504.74
753.723,512.09
754.045,512.09
754.368,516.98
754.691,460.68
755.013,512.09
755.336,477.82
755.658,487.61
755.981,504.74
756.303,534.12
756.625,492.5
756.947,514.54
757.27,470.47
757.592,541.46
757.914,541.46
758.236,502.3
758.558,502.3
758.88,499.85
759.202,541.46
759.523,575.74
759.845,492.5
760.167,463.13
760.488,450.89
760.81,526.78
761.131,534.12
761.453,463.13
761.774,433.75
762.096,519.43
762.417,539.02
762.738,468.02
763.059,497.4
763.381,502.3
763.702,514.54
764.023,490.06
764.344,514.54
764.665,499.85
764.985,546.36
765.306,453.34
765.627,548.81
765.948,502.3
766.268,490.06
766.589,514.54
766.909,492.5
767.23,509.64
767.55,477.82
767.871,524.33
768.191,487.61
768.511,492.5
768.831,524.33
769.152,583.08
769.472,492.5
769.792,455.78
770.112,409.27
770.432,521.88
770.751,472.92
771.071,487.61
771.391,507.19
771.711,543.91
772.03,575.74
772.35,516.98
772.669,558.6
772.989,485.16
773.308,463.13
773.628,455.78
773.947,460.68
774.266,509.64
774.585,512.09
774.905,516.98
775.224,468.02
775.543,524.33
775.862,490.06
776.181,521.88
776.499,490.06
776.818,499.85
777.137,453.34
777.456,470.47
777.774,516.98
778.093,431.3
778.411,455.78
778.73,487.61
779.048,450.89
779.367,450.89
779.685,465.58
780.003,482.71
780.321,553.7
780.639,494.95
780.958,455.78
781.276,463.13
781.594,428.86
781.911,536.57
782.229,477.82
782.547,526.78
782.865,477.82
783.183,592.87
783.5,465.58
783.818,431.3
784.135,431.3
784.453,490.06
784.77,448.44
785.087,453.34
785.405,426.41
785.722,431.3
786.039,480.26
786.356,455.78
786.673,472.92
786.99,472.92
787.307,485.16
787.624,431.3
